[1, 0]:::@bellesea my gym partner left me 
[0, 1]:::WWDC  new iphoneeeeeeeeeeeeee &lt;3
[1, 0]::: please? 
[0, 1]:::@emoprincemartin lol nah its k....u gots to com online sum time so we can catch up  though the time difference would suck
[1, 0]::: i feel your pain. 
[1, 0]:::@Natashaax the word cowinkidink sounds better when spoke not read lol 
[0, 1]:::is in a good mood...and having a good day so far hope it stays like this!  &lt;3
[0, 1]:::@BoogiesWorld never that  
[0, 1]:::@sayahmaten ahhh hahaha FANTASTIC reunion. i love you too 
[1, 0]:::@daughtkom this sounds like a scene from &quot;Misery&quot; 
[1, 0]:::My baby is sick today!!  Watching movies while she sleeps
[0, 1]:::Secret Valentine - We the Kings 
[1, 0]:::My dog is lactose intolerant. Auntie @Klutzie made her veggie tacos and put sour cream n cheese on top. She has a stinky booty now 
[1, 0]:::Battery at 3% ttfn - switching to iPhone - can't type as fast there  #sla2009
[0, 1]:::Some people exist in this world - I choose to LIVE in it! 
[0, 1]:::@Jonasbrothers what did I do to your heart 
[0, 1]:::finally got to sleep at a decent hour tonight  . . . only to get woken up again . . .
[0, 1]:::Oh stop complaining lol just kidding 
[0, 1]:::@CompanyWoman And we've established we'll meet and I've also gained a Twitter buddy 
[1, 0]::: if I had any Internet 
[0, 1]:::@mileycyrus wHat a TeEnaGer has To sEE! 
[1, 0]:::@MRSTravel i just googled Hilsville.  i forgot VA was so huge. you're a little farther away than i expected 
[0, 1]:::Toronto Tomorrow!  Well Today Now haha...
[1, 0]:::noooo!! youtube= dead 
[0, 1]:::@caroljonsn hahaha. No! I just really like weather. Always have. 
[1, 0]:::@beatchallenger yeah 
[0, 1]:::@pdxflaneur Great to finally meet you tonight - thanks for introducing yourself. And the pie of course did not disappoint  #mmmpie
[1, 0]::: what should I do? 
[0, 1]:::@xoxnaquel oo yes that would be nice 
[1, 0]:::@crownieisRUDE ugh...wit who? 
[0, 1]:::Squatting on a few blogger names for the hopefully-soon-to-come-blog.  Yaaaaay!
[0, 1]::: what is this?! 
[1, 0]::: no  It's a long way from DC!
[0, 1]:::finally twitters worked for me 
[1, 0]:::Can't believe i decked it last night haha thn banged my head i now had a lump 
[0, 1]::: night everyone  x
[1, 0]::: and I don't feel like staying home by myself 
[0, 1]:::@Xxpodex so wat u doin????? except for bugging ppl on twitter dat is..... 
[0, 1]:::@jovenatheart Great! 
[1, 0]:::feel like crap..i'm going to bed 
[0, 1]::: i get a 4 day weekend 
[1, 0]:::I guess not.  
[0, 1]:::Just been to see Obsessed with the fellow Cackling Witches  Really happy atm 
[0, 1]::: mister! my friends told me you give hugs with force 
[1, 0]:::@tommcfly its amazing! but its like 10 seconds long 
[0, 1]::: the new Daytona 
[1, 0]:::@Smarttwinkie YOU'RE MEAN!!!  
[1, 0]:::@Whatever_Ista Just sheer bigotry I think. Scum. The poor Romanians must be terrified 
[0, 1]:::- stillll listening to 'paranoid'  now starting civics homework+ new JONAS episode !
[0, 1]:::@YouAnswer I'm a Baby Sign Language Instructor and I think every parent should read up on it! It's awesome  #baby
[1, 0]:::Why is my programming teacher teaching us about mortgages? 
[1, 0]:::suburn...owwwww.  Givanna is currently wrapping up a toy i got her in one of her blankets to give to my granny for her 99th birthday. lol
[0, 1]::: hows u? tweet back  :L x
[1, 0]:::Do women ACTUALLY dress up for women? That seems a little weird to me... I really don't care what other women are doing or putting on 
[0, 1]:::Vorginia highland music festival Tommorow 
[1, 0]:::Theres ihops everywhere! 
[0, 1]:::@JonathanRedic plz tell me you'll be at breakfast tomorrow morning! I'm coming into tooooown 
[1, 0]::: AFI are not at reading til sunday this sucks !!!!!!!!!
[0, 1]:::watching the hills finale then movvie awards 
[0, 1]::: plz... send it to me ASAP 
[1, 0]::: girl  i fucking RUN past unlit rooms.
[1, 0]::: no jeans allowed.. 
[1, 0]::: still can't figure it out!!! 
[0, 1]:::Looking forward to having Dinner with Family and Friendsss! Happy Mothers Day to all the Moms out there! 
[1, 0]:::Wi-fi is temporary dead; no way to watch SNL tonight. its still 1am! c'mooooooon!!!! 
[0, 1]:::@glasgowpodcart thanks guys 
[1, 0]:::@matttraynor YOU CAN'T COME TO BRAZIL WITHOUT COMING TO RIO DE JANEIRO! 
[1, 0]::: Me never sleep at all since last night 
[0, 1]:::@lianacordes Bye i hv to go. Nice talking to u. Meet letter. Hope ur headache will go away 
[0, 1]:::@Jonasbrothers Can't wait for the album. It's going to be amazing. 
[1, 0]:::what's the difference between QR and Microsoft Tag? 
[0, 1]::: twitter world 
[1, 0]:::My foot is so swollen 
[1, 0]:::going to workkkk  headache
[0, 1]:::Public holidays are great!  I get to spend more time with my children 
[1, 0]:::Craving some filipino food.. More specifically my moms 
[0, 1]::: I'll forgive you 
[1, 0]:::stiff neck - not a great way to start a rainy Monday 
[0, 1]:::off to bed ... good night my twits 
[1, 0]:::Really sad...I forgot about Jada  &quot;Hawthorne premiere&quot; 2night ! Sooo i missed it &amp; I could have jst taped it.. 
[1, 0]:::@Starlysh I'm sad that you'll be in a further away time zone 
[1, 0]:::has a really bad sore throat 
[1, 0]:::Saw latest James Bond movie. It's so boring! Really disappointed.  Almost fell asleep.
[0, 1]:::we are so different but opposites attract  ah finallyy..i am so happyy.
[1, 0]:::lost alot of his photography rss feeds 
[0, 1]:::Going grocery shopping 
[1, 0]:::It's a bad day to be a shelter cat. The summer &quot;at capacity&quot; months are here 
[0, 1]:::@abzstaar Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip 
[1, 0]:::my daughter gave me a fat bloody lip last nite. she just drops her head onto mine. i wish i could just sleep in with her today. 
[0, 1]:::love it when the relo's from lismore drop in and suprise us with a visit 
[0, 1]::: and tweeting.  Already did my workout today  
[1, 0]:::Cleaning the house  bored!!!!
[1, 0]:::everyone pray for my uncle. he's in tha hospital with blood on his brain. 
[1, 0]::: awww i hope u can get it.
[1, 0]:::Morning! I don't really have anything to to today... Blah  o well sometimes doing nothing is nice
[0, 1]:::@MsLatina Thanks I think...??  I mean... husband's hairy feet are always worth a shout out huh?
[1, 0]:::Still curled up in a little ball like a potato bug after dealing with Unemployment Office Nazi Robot this morning. Bureaucratic bullshit! 
[1, 0]::: the BIG day. 
[0, 1]::: game number 2 tonight. Have a great evening everyone !! 
[0, 1]:::fixn 2 go swimming! 
[0, 1]:::watching true blood has reall y given me tara's potty mouth  haha
[0, 1]:::read ya then 
[1, 0]:::Already feelin like going to bed wouldn't be a bad idea! Missin snuggle time 
[0, 1]:::@parisastone I've officially finished it all  I probably gained a few kilo's
[1, 0]:::Another sleepless night... 
[1, 0]:::@DonnieWahlberg This was supposed to be my night to meet you and get Full Service 
[0, 1]:::@omgsage  we're so hopeless. LOL
[1, 0]::: and my feet are freezing. another layer of socks?
[1, 0]::: 
[0, 1]:::Goodnight Tweeters! I had a great day. Played kickball  GO ITALY! and played 2 hours of dodgeball again! tomorrow is canoeing .nite nite
[0, 1]:::all settled in OC 
[0, 1]:::@ZackRabbit well @jedbramwell smells like hummus! meybee you smell like hummus! we ALL smell like hummus! 
[0, 1]:::@ParkRat All I want to know is where is the #lakers tweet-up going to be for the Finals! (I want to see the boxers). Heh. 
[1, 0]:::Strettle misses yet more England games. This time he's got a dodgey tummy.  #rugby #quins
[1, 0]::: you'll see it today  xx
[1, 0]::: it seems like two grow back.  
